year,month,state,count_obs
2020,6,WV,57
2020,7,WV,38
2018,2,WY,9
2018,3,WY,1
2018,4,WY,87
2018,5,WY,103
2018,6,WY,163
2018,7,WY,177
2018,8,WY,161
2018,9,WY,168
2018,10,WY,196
2018,11,WY,180
2019,2,WY,12
2019,3,WY,4
2019,4,WY,624
2019,5,WY,1247
2019,6,WY,709
2019,7,WY,436
2019,8,WY,325
2019,9,WY,242
2019,10,WY,159
2019,11,WY,126
2020,3,WY,6
2020,4,WY,176
2020,5,WY,92
2020,6,WY,46
2020,7,WY,16
