year,month,state,count_obs
2018,9,MD,777
2018,10,MD,514
2018,11,MD,342
2018,12,MD,52
2019,1,MD,48
2019,2,MD,198
2019,3,MD,831
2019,4,MD,1203
2019,5,MD,617
2019,6,MD,226
2019,7,MD,369
2019,8,MD,759
2019,9,MD,693
2019,10,MD,552
2019,11,MD,388
2019,12,MD,115
2020,1,MD,71
2020,2,MD,264
2020,3,MD,493
2020,4,MD,425
2020,5,MD,332
2020,6,MD,237
2020,7,MD,156
2018,1,ME,85
2018,2,ME,140
2018,3,ME,194
2018,4,ME,1182
2018,5,ME,1956
2018,6,ME,1570
2018,7,ME,952
2018,8,ME,818
2018,9,ME,725
2018,10,ME,742
2018,11,ME,369
2018,12,ME,184
2019,1,ME,148
2019,2,ME,175
2019,3,ME,387
2019,4,ME,1284
2019,5,ME,1681
2019,6,ME,1639
2019,7,ME,1121
2019,8,ME,927
2019,9,ME,939
2019,10,ME,758
2019,11,ME,433
2019,12,ME,139
2020,1,ME,120
2020,2,ME,55
2020,3,ME,627
2020,4,ME,1361
2020,5,ME,1644
2020,6,ME,1017
2020,7,ME,774
2018,1,MI,709
2018,2,MI,736
2018,3,MI,1474
2018,4,MI,2061
2018,5,MI,2945
2018,6,MI,1524
2018,7,MI,1699
2018,8,MI,1437
2018,9,MI,1542
2018,10,MI,1302
2018,11,MI,781
2018,12,MI,519
2019,1,MI,667
2019,2,MI,1025
2019,3,MI,1930
2019,4,MI,2065
2019,5,MI,3252
2019,6,MI,2261
2019,7,MI,1590
2019,8,MI,1553
2019,9,MI,2124
2019,10,MI,1695
2019,11,MI,896
2019,12,MI,762
2020,1,MI,826
2020,2,MI,1059
2020,3,MI,1630
2020,4,MI,1900
2020,5,MI,1904
2020,6,MI,1711
2020,7,MI,1897
2018,1,MN,823
2018,2,MN,1009
2018,3,MN,1918
2018,4,MN,4825
2018,5,MN,7176
2018,6,MN,5109
2018,7,MN,5033
2018,8,MN,4998
2018,9,MN,4254
2018,10,MN,3856
2018,11,MN,1744
2018,12,MN,883
2019,1,MN,1132
2019,2,MN,1040
2019,3,MN,2138
2019,4,MN,5138
2019,5,MN,6073
2019,6,MN,5568
2019,7,MN,5085
2019,8,MN,4823
2019,9,MN,4115
2019,10,MN,2402
2019,11,MN,1391
2019,12,MN,170
2020,1,MN,203
2020,2,MN,244
2020,3,MN,972
2020,4,MN,2679
2020,5,MN,3576
2020,6,MN,2365
2020,7,MN,2047
2018,1,MO,79
2018,2,MO,125
2018,3,MO,253
2018,4,MO,339
2018,5,MO,363
2018,6,MO,252
2018,7,MO,279
2018,8,MO,233
2018,9,MO,243
2018,10,MO,178
2018,11,MO,172
2018,12,MO,150
2019,1,MO,180
2019,2,MO,180
2019,3,MO,63
2019,4,MO,108
2019,5,MO,18
2019,6,MO,15
2019,7,MO,15
2019,8,MO,3
2019,9,MO,3
2019,10,MO,5
2019,11,MO,8
2020,1,MO,3
2020,2,MO,19
2020,3,MO,88
2020,4,MO,92
2020,5,MO,19
2020,6,MO,6
2020,7,MO,22
2018,1,MS,183
2018,2,MS,130
2018,3,MS,317
2018,4,MS,161
2018,5,MS,184
2018,6,MS,253
2018,7,MS,270
2018,8,MS,356
2018,9,MS,338
2018,10,MS,246
2018,11,MS,379
2018,12,MS,207
2019,1,MS,287
2019,2,MS,309
2019,3,MS,226
2019,4,MS,228
2019,5,MS,244
2019,6,MS,161
2019,7,MS,158
2019,8,MS,248
2019,9,MS,228
2019,10,MS,206
2019,11,MS,261
2019,12,MS,225
2020,1,MS,364
2020,2,MS,333
2020,3,MS,277
2020,4,MS,78
2020,5,MS,163
2020,6,MS,208
2020,7,MS,114
2018,1,MT,9
2018,2,MT,13
2018,3,MT,22
2018,4,MT,40
2018,5,MT,54
2018,6,MT,27
2018,7,MT,1
2018,8,MT,3
2018,9,MT,6
2018,10,MT,16
2018,11,MT,4
2018,12,MT,5
2019,1,MT,14
2019,2,MT,17
2019,3,MT,10
2019,4,MT,53
2019,5,MT,175
2019,6,MT,60
2019,7,MT,28
2019,8,MT,26
2019,9,MT,7
2019,10,MT,15
2020,3,MT,16
2020,4,MT,14
2020,5,MT,17
2020,7,MT,4
2018,1,NC,321
2018,2,NC,449
2018,3,NC,964
2018,4,NC,1517
2018,5,NC,1151
2018,6,NC,643
2018,7,NC,605
2018,8,NC,589
2018,9,NC,894
2018,10,NC,1236
2018,11,NC,857
2018,12,NC,228
2019,1,NC,230
2019,2,NC,1264
2019,3,NC,1392
2019,4,NC,1112
2019,5,NC,1345
2019,6,NC,990
2019,7,NC,1046
2019,8,NC,1199
2019,9,NC,1740
2019,10,NC,1860
2019,11,NC,1382
2019,12,NC,396
2020,1,NC,421
2020,2,NC,657
2020,3,NC,1312
2020,4,NC,807
2020,5,NC,765
2020,6,NC,318
2020,7,NC,164
2018,3,ND,1
2018,4,ND,1238
2018,5,ND,1992
2018,6,ND,663
2018,7,ND,1134
2018,8,ND,1701
2018,9,ND,954
2018,10,ND,855
2018,11,ND,279
2019,1,ND,3
2019,4,ND,2144
2019,5,ND,1898
2019,6,ND,473
2019,7,ND,466
2019,8,ND,1077
2019,9,ND,857
2019,10,ND,858
2019,11,ND,386
2020,4,ND,1
2018,4,NE,2
2018,5,NE,3
2019,3,NE,1
2019,4,NE,24
2019,5,NE,23
2019,6,NE,2
2019,7,NE,2
2019,8,NE,1
2019,9,NE,37
2019,10,NE,34
2020,3,NE,1
2020,4,NE,2
2020,5,NE,1
2018,1,NH,3
2018,3,NH,1
2018,4,NH,905
2018,5,NH,2508
2018,6,NH,1653
2018,7,NH,1947
2018,8,NH,1878
2018,9,NH,1233
2018,10,NH,720
2018,11,NH,42
2019,3,NH,10
2019,4,NH,923
2019,5,NH,2728
2019,6,NH,2053
2019,7,NH,1334
2019,8,NH,1661
2019,9,NH,1796
2019,10,NH,1280
2019,11,NH,89
2020,3,NH,26
2020,4,NH,659
2020,5,NH,1173
2020,6,NH,917
2020,7,NH,901
2018,1,NJ,34
2018,2,NJ,36
2018,3,NJ,8
2018,4,NJ,52
2018,5,NJ,20
2018,6,NJ,1
2018,7,NJ,1
2018,9,NJ,43
2018,10,NJ,151
2018,11,NJ,22
2019,3,NJ,2
2019,4,NJ,19
2019,5,NJ,1
2019,7,NJ,12
2019,9,NJ,3
2019,10,NJ,4
2019,11,NJ,1
2019,12,NJ,4
2020,3,NJ,267
2020,4,NJ,579
2020,5,NJ,420
2020,6,NJ,399
2020,7,NJ,96
2018,1,NM,874
2018,2,NM,793
2018,3,NM,1000
2018,4,NM,1000
2018,5,NM,1102
2018,6,NM,921
2018,7,NM,952
2018,8,NM,1102
2018,9,NM,838
2018,10,NM,1156
2018,11,NM,1004
2018,12,NM,747
2019,1,NM,795
2019,2,NM,767
2019,3,NM,909
2019,4,NM,979
2019,5,NM,1020
2019,6,NM,891
2019,7,NM,1163
2019,8,NM,1119
2019,9,NM,1045
2019,10,NM,1054
2019,11,NM,775
2019,12,NM,874
2020,1,NM,627
2020,2,NM,420
2020,3,NM,400
2020,4,NM,250
2020,5,NM,258
2020,6,NM,177
2020,7,NM,206
2018,1,NV,1
2018,2,NV,6
2018,3,NV,3
2018,4,NV,7
2018,5,NV,1
2018,6,NV,2
2018,7,NV,1
