id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16709993,2018-08-30,2616,31.422713,-110.263791,Cochise,Arizona,United States,Mimoschinia rufofascialis,325590
16709998,2018-08-30,2616,31.422706,-110.263598,Cochise,Arizona,United States,Ponometia venustula,361811
16710041,2018-08-30,2616,31.422688,-110.263703,Cochise,Arizona,United States,Schinia oculata,321264
16710043,2018-08-30,2616,31.422778,-110.263628,Cochise,Arizona,United States,Isa schaefferana,177666
16721302,2018-09-13,5692,33.6846329167,-111.9659521944,Maricopa,Arizona,United States,Solenopsis xyloni,69547
16721363,2018-09-03,922012,34.1752538327,-109.230234636,Apache,Arizona,United States,Libellula forensis,84369
16722297,2018-09-13,1055470,35.06604989,-109.78289835,Apache,Arizona,United States,Euscirrhopterus gloveri,416381
16728000,2018-09-08,550415,32.2708361119,-112.7465899387,Pima,Arizona,United States,Aphis nerii,71154
16728514,2018-09-20,475390,32.415345,-110.91085,Pima,Arizona,United States,Schistocerca albolineata,205713
16728567,2018-09-20,475390,32.4144466667,-110.9108116667,Pima,Arizona,United States,Schistocerca albolineata,205713
16729680,2018-08-26,1152166,32.7424469365,-110.6483475903,Pinal,Arizona,United States,Hyles lineata,49348
16732810,2018-08-13,19215,34.41803923,-111.26381143,Gila,Arizona,United States,Papilio multicaudata,68263
16733702,2018-09-20,1178311,34.3967752,-112.23469241,Yavapai,Arizona,United States,Melanoplus yarrowii,121462
16735475,2018-09-20,1112392,32.3751415012,-110.7067802209,Pima,Arizona,United States,Libytheana carinenta,58561
16735552,2018-08-14,19215,34.24783791,-110.7912731801,Gila,Arizona,United States,Hemiargus ceraunus,69940
16735554,2018-08-14,19215,34.2478292501,-110.79128682,Gila,Arizona,United States,Hemiargus ceraunus,69940
16735665,2018-09-20,65966,33.3013628237,-111.7781313882,Maricopa,Arizona,United States,Aedes aegypti,155453
16735748,2018-09-14,1112392,31.5723948271,-111.323202499,Pima,Arizona,United States,Taeniopoda eques,82018
16736631,2018-09-20,1160753,33.3060959428,-111.6770239532,Maricopa,Arizona,United States,Phoebis sennae,48550
16737451,2018-08-20,19215,34.20609379,-111.0437983901,Gila,Arizona,United States,Dynastes grantii,424045
16737453,2018-08-20,19215,34.2064425399,-111.04143508,Gila,Arizona,United States,Argia lugens,94556
