id,observed_on,user_id,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
44427919,2020-04-30,2528990,33.46217833,-112.32236333,,Maricopa,Arizona,United States,Perithemis intensa,109161
44428044,2020-04-29,2081939,32.2788672523,-111.0223157331,,Pima,Arizona,United States,Rhionaeschna multicolor,67737
44428166,2020-04-30,278739,32.23019667,-110.91319167,,Pima,Arizona,United States,Nemestrinidae,120090
44428255,2020-04-22,410488,33.4065388261,-111.8897634291,,Maricopa,Arizona,United States,Pontia,59122
44428284,2020-04-30,223191,33.35156978,-111.88707102,,Maricopa,Arizona,United States,Thyanta custator accerra,461380
44428643,2020-04-29,2081939,31.774530741,-110.867864415,,Pima,Arizona,United States,Ctenucha venosa,217892
44428955,2020-04-26,2081939,32.182079695,-110.9343852103,,Pima,Arizona,United States,Vanessa cardui,48548
44429450,2020-04-30,1136503,32.1496728575,-110.7669583709,,Pima,Arizona,United States,Anthanassa texana,132339
44429476,2020-04-26,1136503,31.9043734524,-109.2789356993,,Cochise,Arizona,United States,Syrphidae,49995
44429847,2020-04-30,65660,34.2442000604,-112.87758646,,Yavapai,Arizona,United States,Coccinellidae,48486
44430195,2020-04-29,28958,34.7730983333,-112.0245133333,,Yavapai,Arizona,United States,Dialictus,126545
44430315,2020-04-23,410488,33.4066351866,-111.889849209,,Maricopa,Arizona,United States,Pontia protodice,59119
44430321,2020-04-23,410488,33.4066351866,-111.889849209,,Maricopa,Arizona,United States,Hymenoptera,47201
44430326,2020-04-23,410488,33.4066351866,-111.889849209,,Maricopa,Arizona,United States,Bulia,173249
44430327,2020-04-23,410488,33.4066351866,-111.889849209,,Maricopa,Arizona,United States,Hylephila phyleus,50340
44430334,2020-04-23,410488,33.4066351866,-111.889849209,,Maricopa,Arizona,United States,Hylephila phyleus,50340
44430342,2020-04-23,410488,33.4066351866,-111.889849209,,Maricopa,Arizona,United States,Nomada,53648
44430532,2020-04-30,1475640,34.8302202986,-111.8953907348,,Yavapai,Arizona,United States,Libellula saturata,47817
44430815,2020-04-29,1475640,34.6841565058,-112.0539105505,,Yavapai,Arizona,United States,Libellula saturata,47817
44431516,2020-04-30,332438,32.2328681086,-110.900321829,,Pima,Arizona,United States,Icaricia lupini,117360
44431536,2020-04-30,2883296,32.71872167,-113.95657167,,Yuma,Arizona,United States,Cysteodemus armatus,69893
44431646,2020-04-26,410488,33.4068501366,-111.8899350397,,Maricopa,Arizona,United States,Vanessa cardui,48548
44431652,2020-04-29,410488,33.4068501366,-111.8899350397,,Maricopa,Arizona,United States,Hylephila phyleus,50340
44431653,2020-04-30,410488,33.4068501366,-111.8899350397,,Maricopa,Arizona,United States,Burnsius,1038402
44432163,2020-04-30,28958,34.6115755,-111.8349854,,Yavapai,Arizona,United States,Hippodamia convergens,48987
44433239,2020-04-30,28958,34.6117866667,-111.84194,,Yavapai,Arizona,United States,Acmaeodera cuneata,876803
44433381,2020-04-30,662916,33.3,-112.08,,Maricopa,Arizona,United States,Chrysoperla pudica-group,945825
44434022,2020-04-30,2721054,33.41943667,-111.94593833,,Maricopa,Arizona,United States,Acunomia,414976
44434048,2020-04-30,2857219,34.6024290998,-113.215522914,,Yavapai,Arizona,United States,Trimerotropis pallidipennis,51493
44434184,2020-04-22,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Thermobia domestica,261301
44434185,2020-04-23,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Noctua,81688
44434196,2020-04-23,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Apis mellifera,47219
44434198,2020-04-23,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Calliphoridae,61860
44434199,2020-04-24,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Noctuoidea,47607
