siteID,State,year,sitevisits
31574,AZ,2018,4
31575,AZ,2018,4
31663,AZ,2019,2
31663,AZ,2018,3
31691,AZ,2020,1
31691,AZ,2019,15
32714,AZ,2019,1
32737,AZ,2019,1
32748,AZ,2019,7
32995,AZ,2019,6
33157,AZ,2019,3
33157,AZ,2018,4
33189,AZ,2020,3
33199,AZ,2019,2
33351,AZ,2020,14
33351,AZ,2019,14
33593,AZ,2019,2
33609,AZ,2019,13
33723,AZ,2019,26
33740,AZ,2019,4
33767,AZ,2019,4
33768,AZ,2019,6
33816,AZ,2019,3
33932,AZ,2019,3
33933,AZ,2019,3
34082,AZ,2019,1
34083,AZ,2019,3
34168,AZ,2019,2
34174,AZ,2019,1
34234,AZ,2020,14
34234,AZ,2019,5
34244,AZ,2020,9
34244,AZ,2019,6
34252,AZ,2019,1
34267,AZ,2019,2
34526,AZ,2020,5
34563,AZ,2020,5
34937,AZ,2020,8
34949,AZ,2020,9
34995,AZ,2020,1
35023,AZ,2020,1
35025,AZ,2020,1
35567,AZ,2020,1
35912,AZ,2019,11
35912,AZ,2018,13
35913,AZ,2019,13
35913,AZ,2018,13
36284,AZ,2020,1
36336,AZ,2020,1
36882,AZ,2020,15
36883,AZ,2020,1
37403,AZ,2020,9
37574,AZ,2020,5
37688,AZ,2020,5
37690,AZ,2020,17
37723,AZ,2020,1
37738,AZ,2020,5
37823,AZ,2020,3
37959,AZ,2020,1
38286,AZ,2020,3
38326,AZ,2020,13
38340,AZ,2020,12
38374,AZ,2020,8
38395,AZ,2020,1
38493,AZ,2020,7
38493,AZ,2019,1
38571,AZ,2020,10
38585,AZ,2020,8
38631,AZ,2020,4
38648,AZ,2020,1
38707,AZ,2020,1
38806,AZ,2020,1
22577,BC,2019,2
22577,BC,2018,10
24718,BC,2019,7
24718,BC,2018,7
25009,BC,2019,6
25009,BC,2018,9
25010,BC,2019,6
25010,BC,2018,8
33258,BC,2019,1
1051,CA,2018,1
1380,CA,2020,6
1380,CA,2019,5
1380,CA,2018,16
1559,CA,2019,1
1559,CA,2018,1
5389,CA,2020,4
5389,CA,2019,12
5389,CA,2018,11
5390,CA,2020,4
5390,CA,2019,12
5390,CA,2018,11
5391,CA,2020,4
5391,CA,2019,12
5391,CA,2018,11
5392,CA,2018,5
5393,CA,2018,5
5394,CA,2018,5
5395,CA,2018,5
5442,CA,2020,9
5442,CA,2019,14
5442,CA,2018,11
5443,CA,2020,1
5443,CA,2019,11
5443,CA,2018,5
5444,CA,2020,1
5444,CA,2019,12
5444,CA,2018,5
5445,CA,2020,1
5445,CA,2019,12
5445,CA,2018,5
5446,CA,2018,9
5447,CA,2018,9
5448,CA,2018,9
5449,CA,2018,9
5850,CA,2020,1
5850,CA,2019,12
5850,CA,2018,3
5851,CA,2020,1
5851,CA,2019,12
5851,CA,2018,3
5852,CA,2020,1
5852,CA,2019,12
5852,CA,2018,3
5857,CA,2018,5
6081,CA,2020,4
6081,CA,2019,4
6081,CA,2018,14
6082,CA,2020,4
6082,CA,2019,4
6082,CA,2018,13
6085,CA,2020,4
6085,CA,2019,4
6085,CA,2018,13
6086,CA,2020,4
6086,CA,2019,3
6086,CA,2018,13
6091,CA,2020,4
6091,CA,2019,13
6091,CA,2018,14
6092,CA,2020,4
6092,CA,2019,11
6092,CA,2018,13
6093,CA,2020,4
6093,CA,2019,13
6093,CA,2018,14
6094,CA,2020,4
6094,CA,2019,13
6094,CA,2018,14
6095,CA,2020,4
6095,CA,2019,13
6095,CA,2018,14
6097,CA,2020,4
6097,CA,2019,13
6097,CA,2018,14
6098,CA,2020,4
6098,CA,2019,13
6098,CA,2018,14
6099,CA,2020,4
6099,CA,2019,12
6099,CA,2018,14
6100,CA,2020,3
6100,CA,2019,13
6100,CA,2018,13
6149,CA,2020,4
6149,CA,2019,4
6149,CA,2018,13
6151,CA,2020,4
6151,CA,2019,4
6151,CA,2018,13
6213,CA,2019,5
6213,CA,2018,15
6214,CA,2019,4
6214,CA,2018,14
6215,CA,2019,4
6215,CA,2018,14
6216,CA,2019,4
6216,CA,2018,13
6217,CA,2019,4
6217,CA,2018,13
6218,CA,2019,4
6218,CA,2018,13
6219,CA,2019,4
6219,CA,2018,13
6220,CA,2019,4
6220,CA,2018,13
6221,CA,2019,4
6221,CA,2018,13
6398,CA,2020,9
6398,CA,2019,1
6398,CA,2018,31
6399,CA,2020,25
6399,CA,2019,24
6399,CA,2018,27
6443,CA,2018,5
6466,CA,2020,5
6466,CA,2019,8
6466,CA,2018,5
6471,CA,2018,12
8330,CA,2018,1
8417,CA,2018,1
8768,CA,2020,7
8768,CA,2019,9
8768,CA,2018,10
8769,CA,2020,11
8769,CA,2019,13
8769,CA,2018,12
8770,CA,2020,5
8770,CA,2019,9
8770,CA,2018,11
8835,CA,2020,1
8835,CA,2019,11
8835,CA,2018,10
8861,CA,2020,2
8861,CA,2019,2
8861,CA,2018,1
8862,CA,2020,2
8862,CA,2019,2
8862,CA,2018,1
8863,CA,2020,2
8863,CA,2019,2
8863,CA,2018,1
8865,CA,2020,2
8865,CA,2019,2
8865,CA,2018,1
8919,CA,2018,5
8921,CA,2019,9
8921,CA,2018,8
8927,CA,2020,1
8927,CA,2019,4
8927,CA,2018,3
8937,CA,2020,2
8937,CA,2019,2
8937,CA,2018,1
8940,CA,2020,1
8940,CA,2019,10
8940,CA,2018,19
8957,CA,2020,12
8957,CA,2019,31
8957,CA,2018,28
8959,CA,2020,12
8959,CA,2019,31
8959,CA,2018,28
8984,CA,2019,1
8984,CA,2018,5
8985,CA,2019,1
8985,CA,2018,5
8986,CA,2019,1
8986,CA,2018,5
8987,CA,2019,1
8987,CA,2018,5
8988,CA,2019,1
8988,CA,2018,5
8989,CA,2019,1
8989,CA,2018,5
9004,CA,2020,2
9004,CA,2019,3
9004,CA,2018,1
9022,CA,2018,5
9048,CA,2020,3
9048,CA,2019,10
9048,CA,2018,10
9049,CA,2020,10
9049,CA,2019,9
9049,CA,2018,9
9241,CA,2020,12
9241,CA,2019,31
9241,CA,2018,28
9242,CA,2020,12
9242,CA,2019,31
9242,CA,2018,28
9521,CA,2018,2
9657,CA,2018,3
10142,CA,2020,12
10142,CA,2019,9
10142,CA,2018,9
10995,CA,2018,3
11410,CA,2018,3
12493,CA,2018,3
12534,CA,2018,4
12725,CA,2020,4
12725,CA,2019,37
12725,CA,2018,39
16262,CA,2019,16
16262,CA,2018,13
16358,CA,2020,8
16374,CA,2020,1
16374,CA,2019,33
16374,CA,2018,14
16440,CA,2018,1
16496,CA,2020,1
16496,CA,2019,2
16496,CA,2018,2
16587,CA,2020,1
16587,CA,2019,2
16587,CA,2018,2
16588,CA,2020,1
16588,CA,2019,2
16588,CA,2018,2
16590,CA,2020,3
16590,CA,2019,7
16590,CA,2018,8
16591,CA,2020,3
16591,CA,2019,8
16591,CA,2018,8
16592,CA,2020,3
16592,CA,2019,8
16592,CA,2018,8
16610,CA,2020,9
16610,CA,2019,4
16610,CA,2018,31
16902,CA,2020,1
16902,CA,2019,24
16902,CA,2018,21
17019,CA,2019,1
17019,CA,2018,5
17670,CA,2020,7
17670,CA,2019,43
17670,CA,2018,38
17673,CA,2018,1
17707,CA,2020,6
17707,CA,2019,37
17707,CA,2018,47
17906,CA,2018,2
18183,CA,2019,1
18183,CA,2018,3
19550,CA,2020,2
19550,CA,2019,18
19550,CA,2018,11
19944,CA,2020,19
19944,CA,2019,24
19944,CA,2018,26
20765,CA,2020,3
20765,CA,2019,8
20765,CA,2018,8
20956,CA,2020,1
20956,CA,2019,2
20956,CA,2018,2
20969,CA,2020,4
20969,CA,2019,10
20969,CA,2018,10
21017,CA,2020,11
21017,CA,2019,9
21017,CA,2018,14
21131,CA,2020,6
21131,CA,2019,10
21131,CA,2018,12
21132,CA,2020,6
21132,CA,2019,7
21132,CA,2018,12
